claim_id,claim_text,evidence_id,evidence_text,claim_label
claim-2510,In 1946 PDO switched to a cool phase,evidence-1208158,The PDO is a pattern of Pacific climate variability that shifts phases on at least inter-decadal time scale usually about 20 to 30 years,SUPPORTS
claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming,evidence-796796,Climate change has also been called the greatest scam in history by John Coleman who co-founded the Weather Channel,DISPUTED
claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming,evidence-246753,The New Zealand Climate Science Coalition is an organisation based in New Zealand which has the aim of refuting what it claims are unfounded claims about anthropogenic global warming,DISPUTED
claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming,evidence-268745,Written by Cook and other authors the report draws from various rebuttals published and summarizes the evidence for global warming and what it calls the flaws in many of the criticisms of anthropogenic global warming theory,DISPUTED
claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming,evidence-1037784,Long-term effects of global warming On the timescale of centuries to millennia the magnitude of global warming will be determined primarily by anthropogenic CO emissions,DISPUTED
claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming,evidence-782433,Scientists have found evidence that increased evaporation could result in more extreme weather as global warming progresses,DISPUTED
claim-2449,January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators,evidence-110980,During this period a sharp drop in global temperatures took place,NOT_ENOUGH_INFO
claim-2449,January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators,evidence-828024,There were two definite elements of the cap and trade scheme the cap itself and the ability to trade Department of Climate Change 2008 12,NOT_ENOUGH_INFO
claim-2449,January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators,evidence-594052,Since the pre-industrial period global average land temperatures have increased almost twice as fast as global average temperatures,NOT_ENOUGH_INFO
claim-2449,January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators,evidence-246929,It is a major aspect of climate change and has been demonstrated by the instrumental temperature record which shows global warming of around 1 since the pre-industrial period although the bulk of this 0.9°C has occurred since 1970,NOT_ENOUGH_INFO
claim-2449,January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators,evidence-1097114,The covered sectors are sources of emissions subject to the cap which were specified in the Carbon Pollution Reduction Scheme Department of Climate Change 2008 12,NOT_ENOUGH_INFO
claim-851,The last time the planet was even four degrees warmer Peter Brannen points out in The Ends of the World his new history of the planet s major extinction events the oceans were hundreds of feet higher,evidence-551233,"At present the rate of extinction of species is estimated at 100 to 1,000 times higher than the background extinction rate the historically typical rate of extinction in terms of the natural evolution of the planet also the current rate of extinction is 10 to 100 times higher than in any of the previous mass extinctions in the history of Earth",NOT_ENOUGH_INFO
claim-851,The last time the planet was even four degrees warmer Peter Brannen points out in The Ends of the World his new history of the planet s major extinction events the oceans were hundreds of feet higher,evidence-1054072,S cientists know quite precisely how much the planet will warm in the foreseeable future a modest three-quarters of a degree C in 50 years,NOT_ENOUGH_INFO
claim-851,The last time the planet was even four degrees warmer Peter Brannen points out in The Ends of the World his new history of the planet s major extinction events the oceans were hundreds of feet higher,evidence-169703,But we know the last time the world was 2 degrees warmer sea level was 6 meters or 20 feet higher,NOT_ENOUGH_INFO
claim-851,The last time the planet was even four degrees warmer Peter Brannen points out in The Ends of the World his new history of the planet s major extinction events the oceans were hundreds of feet higher,evidence-1208236,Almost all scientists acknowledge that the rate of species loss is greater now than at any time in human history with extinctions occurring at rates hundreds of times higher than background extinction rates,NOT_ENOUGH_INFO
claim-851,The last time the planet was even four degrees warmer Peter Brannen points out in The Ends of the World his new history of the planet s major extinction events the oceans were hundreds of feet higher,evidence-694262,The planet is now 0.8 warmer than in pre-industrial times,NOT_ENOUGH_INFO
claim-2773,Tree-ring proxy reconstructions are reliable before 1960 tracking closely with the instrumental record and other independent proxies,evidence-974673,The deviation of some tree ring proxy measurements from the instrumental record since the 1950s raises the question of the reliability of tree ring proxies in the period before the instrumental temperature record,DISPUTED
claim-2773,Tree-ring proxy reconstructions are reliable before 1960 tracking closely with the instrumental record and other independent proxies,evidence-160755,Individual proxy records such as tree ring widths and densities used in dendroclimatology are calibrated against the instrumental record for the period of overlap,DISPUTED
claim-2773,Tree-ring proxy reconstructions are reliable before 1960 tracking closely with the instrumental record and other independent proxies,evidence-903800,Wider coverage is provided by multiproxy reconstructions incorporating proxies such as lake sediments ice cores and corals which are found in different regions and using statistical methods to relate these sparser proxies to the greater numbers of tree ring records,DISPUTED
claim-2773,Tree-ring proxy reconstructions are reliable before 1960 tracking closely with the instrumental record and other independent proxies,evidence-994854,Proxies can be combined to produce temperature reconstructions longer than the instrumental temperature record and can inform discussions of global warming and climate history,DISPUTED
claim-2773,Tree-ring proxy reconstructions are reliable before 1960 tracking closely with the instrumental record and other independent proxies,evidence-253111,These proxy reconstructions are indirect inferences of temperature and thus tend to have greater uncertainty than instrumental data,DISPUTED
claim-949,Under the most ambitious scenarios they found a strong likelihood that Antarctica would remain fairly stable,evidence-216158,The high rate of violent and petty crime in Tottenham Green has remained fairly stable over the past six years,DISPUTED
claim-949,Under the most ambitious scenarios they found a strong likelihood that Antarctica would remain fairly stable,evidence-1183793,The Sun is roughly middle-aged it has not changed dramatically for more than four billion years and will remain fairly stable for more than another five billion years,DISPUTED
claim-949,Under the most ambitious scenarios they found a strong likelihood that Antarctica would remain fairly stable,evidence-997594,Its remains have been found in Africa Antarctica Europe and North America,DISPUTED
claim-949,Under the most ambitious scenarios they found a strong likelihood that Antarctica would remain fairly stable,evidence-491035,Theoretical and empirical studies identify non-random emergent patterns of few strong and many weak linkages that explain how ecological communities remain stable over time,DISPUTED
claim-949,Under the most ambitious scenarios they found a strong likelihood that Antarctica would remain fairly stable,evidence-865235,The distribution is also fairly stable and are nonprogressive hypopigmented patches,DISPUTED
claim-1019,An additional kick was supplied by an El weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet causing the hottest year in a historical record dating to 1880,evidence-1063308,El Nino has also been linked with cholera outbreaks because this weather pattern warms the shoreline waters causing the cholera bacteria to multiply rapidly,NOT_ENOUGH_INFO
claim-1019,An additional kick was supplied by an El weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet causing the hottest year in a historical record dating to 1880,evidence-990887,As the atmosphere is warmed nearest the equator the hot air at the surface of our planet is heated causing it to rise and draw in cooler air to take its place creating what is known as circulation cells,NOT_ENOUGH_INFO
claim-1019,An additional kick was supplied by an El weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet causing the hottest year in a historical record dating to 1880,evidence-972046,A hot surface warms the air above it causing it to expand and lower the density and the resulting surface air pressure,NOT_ENOUGH_INFO
claim-1019,An additional kick was supplied by an El weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet causing the hottest year in a historical record dating to 1880,evidence-420577,The 2014 flip from the cool PDO phase to the warm phase which vaguely resembles a long and drawn out El event contributed to record-breaking surface temperatures across the planet in 2014,NOT_ENOUGH_INFO
claim-1019,An additional kick was supplied by an El weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet causing the hottest year in a historical record dating to 1880,evidence-268048,The year 2016 was the hottest year on record with many weather and climate extremes according to the most recent WMO report,NOT_ENOUGH_INFO
claim-2834,When stomata-derived CO2 red is compared to ice core-derived CO2 blue the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores,evidence-100018,The ice core data shows that temperature change causes the level of atmospheric CO2 to change not the other way round,SUPPORTS
claim-2834,When stomata-derived CO2 red is compared to ice core-derived CO2 blue the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores,evidence-805335,In that sense the ice core CO2-temperature correlation remains an appropriate demonstration of the influence of CO2 on climate,SUPPORTS
claim-2834,When stomata-derived CO2 red is compared to ice core-derived CO2 blue the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores,evidence-935793,Stomatal density and aperture length of stomata varies under a number of environmental factors such as atmospheric CO2 concentration light intensity air temperature and photoperiod daytime duration,SUPPORTS
claim-2834,When stomata-derived CO2 red is compared to ice core-derived CO2 blue the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores,evidence-364767,It is expected that most ecosystems will be affected by higher atmospheric CO2 levels and higher global temperatures,SUPPORTS
claim-2834,When stomata-derived CO2 red is compared to ice core-derived CO2 blue the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores,evidence-910599,New approaches retrieve data such as CO 2 content of past atmospheres from fossil leaf stomata and isotope composition measuring cellular CO2 concentrations,SUPPORTS
claim-1441,195 countries signed the 2015 Paris Agreement agreeing to limit global warming and adapt to climate change partly by protecting nature,evidence-789934,The conference was one of many meetings leading up to the 2011 Paris Agreement at which the international community agreed to limit global warming to no more than 2C in order to have a 50-50 chance of avoiding dangerous climate change,SUPPORTS
claim-1441,195 countries signed the 2015 Paris Agreement agreeing to limit global warming and adapt to climate change partly by protecting nature,evidence-217743,In 2015 all then 196 parties to the convention came together for the UN Climate Change Conference in Paris 30 November 12 December and adopted by consensus the Paris Agreement aimed at limiting global warming to less than two degrees Celsius and pursue efforts to limit the rise to 1.5 degrees Celsius,SUPPORTS
claim-1441,195 countries signed the 2015 Paris Agreement agreeing to limit global warming and adapt to climate change partly by protecting nature,evidence-172698,It is not aligned with the 2015 Paris climate agreement which set the objective of restricting global warming to 1.5 to 2,SUPPORTS
claim-1441,195 countries signed the 2015 Paris Agreement agreeing to limit global warming and adapt to climate change partly by protecting nature,evidence-398246,Although the parties to the UNFCCC have agreed that deep cuts in emissions are required and that global warming should be limited to well below in the Paris Agreement the Earth average surface temperature has already increased by about half this threshold and current pledges by countries to cut emissions are inadequate to limit future warming,SUPPORTS
claim-1441,195 countries signed the 2015 Paris Agreement agreeing to limit global warming and adapt to climate change partly by protecting nature,evidence-748431,On the final day under the presidency of Laurent Fabius the 195 governments which are Parties to the Climate Change Convention unanimously adopted Paris Agreement accelerating the intentional transformation of the global economy toward low carbon and high resilience,SUPPORTS
claim-1181,However there is a process of accretion where coral broken up by the waves washes up on these low-lying islands as sand counteracting the reduction in land mass,evidence-324930,"It is a low flat sand and coral island about 905 nautical miles 1,676 km northwest of Honolulu",NOT_ENOUGH_INFO
claim-1181,However there is a process of accretion where coral broken up by the waves washes up on these low-lying islands as sand counteracting the reduction in land mass,evidence-2338,Swash the water that washes up on shore after an incoming wave has broken,NOT_ENOUGH_INFO
claim-1181,However there is a process of accretion where coral broken up by the waves washes up on these low-lying islands as sand counteracting the reduction in land mass,evidence-905909,He believed that waves moving into shallow water churned up sand which was deposited in the form of a submarine bar when the waves broke and lost much of their energy,NOT_ENOUGH_INFO
claim-1181,However there is a process of accretion where coral broken up by the waves washes up on these low-lying islands as sand counteracting the reduction in land mass,evidence-600745,Habili reef specific to the Red Sea does not reach near enough to the surface to cause visible surf may be a hazard to ships from the Arabic for unborn Microatoll community of species of corals vertical growth limited by average tidal height growth morphologies offer a low-resolution record of patterns of sea level change fossilized remains can be dated using radioactive carbon dating and have been used to reconstruct Holocene sea levels Cays small low-elevation sandy islands formed on the surface of coral reefs from eroded material that piles up forming an area above sea level can be stabilized by plants to become habitable occur in tropical environments throughout the Pacific Atlantic and Indian Oceans including the Caribbean and on the Great Barrier Reef and Belize Barrier Reef where they provide habitable and agricultural land Seamount or guyot formed when a coral reef on a volcanic island subsides tops of seamounts are rounded and guyots are flat flat tops of guyots or tablemounts are due to erosion by waves winds and atmospheric processes Coral reef ecosystems contain distinct zones that host different kinds of habitats,NOT_ENOUGH_INFO
claim-1181,However there is a process of accretion where coral broken up by the waves washes up on these low-lying islands as sand counteracting the reduction in land mass,evidence-592588,It is a stabilization process reducing odor pathogens and mass reduction,NOT_ENOUGH_INFO
claim-2417,Mars Triton Pluto and Jupiter all show global warming pointing to the Sun as the dominating influence in determining climate throughout the solar system,evidence-896175,Than 2007 provided alternative explanations of why warming had occurred on Triton Pluto Jupiter and Mars,NOT_ENOUGH_INFO
claim-2417,Mars Triton Pluto and Jupiter all show global warming pointing to the Sun as the dominating influence in determining climate throughout the solar system,evidence-283664,These included Neptune moon Triton Jupiter Pluto and Mars,NOT_ENOUGH_INFO
claim-2417,Mars Triton Pluto and Jupiter all show global warming pointing to the Sun as the dominating influence in determining climate throughout the solar system,evidence-215634,Hence if placed in the center of the Solar System its outer surface would lie between the orbits of Mars and Jupiter,NOT_ENOUGH_INFO
claim-2417,Mars Triton Pluto and Jupiter all show global warming pointing to the Sun as the dominating influence in determining climate throughout the solar system,evidence-1065012,When in the part of its orbit closest to the Sun Pluto has an atmosphere of nitrogen and methane similar to Triton but these gases are frozen when it is farther from the Sun,NOT_ENOUGH_INFO
claim-2417,Mars Triton Pluto and Jupiter all show global warming pointing to the Sun as the dominating influence in determining climate throughout the solar system,evidence-430265,He stated that warming on Mars was evidence that global warming on Earth was being caused by changes in the sun,NOT_ENOUGH_INFO
claim-2152,Venus does n't have a runaway greenhouse effect,evidence-791159,Venus receives about twice the sunlight that Earth does which is thought to have contributed to its runaway greenhouse effect,REFUTES
claim-2152,Venus does n't have a runaway greenhouse effect,evidence-175982,He also perceived global warming as a growing man-made danger and likened it to the natural development of Venus into a hot life-hostile planet through a kind of runaway greenhouse effect,REFUTES
claim-2152,Venus does n't have a runaway greenhouse effect,evidence-1018575,A runaway greenhouse effect involving carbon dioxide and water vapor has long ago been hypothesized to have occurred on Venus this idea is still largely accepted citation needed,REFUTES
claim-2152,Venus does n't have a runaway greenhouse effect,evidence-1018829,More recent studies have suggested that several billion years ago Venus atmosphere was much more like Earth than it is now and that there were probably substantial quantities of liquid water on the surface but a runaway greenhouse effect was caused by the evaporation of that original water which generated a critical level of greenhouse gases in its atmosphere,REFUTES
claim-2152,Venus does n't have a runaway greenhouse effect,evidence-515817,"The planet Venus experienced runaway greenhouse effect resulting in an atmosphere which is 96 carbon dioxide with surface atmospheric pressure roughly the same as found 900 m 3,000 ft underwater on Earth",REFUTES
claim-826,The latest NOAA report is a reminder that climate change has not despite the insistence of climate contrarians paused or even slowed down Mann said,evidence-178572,He is quoted as being skeptical of global warming and is described by Michael E. Mann as a prominent climate change contrarian,SUPPORTS
claim-826,The latest NOAA report is a reminder that climate change has not despite the insistence of climate contrarians paused or even slowed down Mann said,evidence-497197,Details the findings of a new report that confirms NOAA data about climate change,SUPPORTS
claim-826,The latest NOAA report is a reminder that climate change has not despite the insistence of climate contrarians paused or even slowed down Mann said,evidence-130142,Lindzen has been called a contrarian in relation to climate change and other issues,SUPPORTS
claim-826,The latest NOAA report is a reminder that climate change has not despite the insistence of climate contrarians paused or even slowed down Mann said,evidence-40902,NOAA said that the disbandment of the committee will not impact the completion of the Fourth National Climate Assessment,SUPPORTS
claim-826,The latest NOAA report is a reminder that climate change has not despite the insistence of climate contrarians paused or even slowed down Mann said,evidence-235043,It noted that NOAA reviewed its climate change data as standard procedure not in response to the controversy,SUPPORTS
claim-1066,in fact this pattern is already emerging with the conditions that create extremely warm dry years and extremely wet years both becoming more frequent,evidence-864852,Extremely critical areas are issued only several times a year when forecasters at the SPC are confident of extremely dangerous wildfire conditions on a given day,SUPPORTS
claim-1066,in fact this pattern is already emerging with the conditions that create extremely warm dry years and extremely wet years both becoming more frequent,evidence-1174629,Extremely wet or dry events within the monsoon period have increased in India and East Asia,SUPPORTS
claim-1066,in fact this pattern is already emerging with the conditions that create extremely warm dry years and extremely wet years both becoming more frequent,evidence-578865,Due to extremely wet conditions the Sycamore was run off the turf on the polytrack in 2011,SUPPORTS
claim-1066,in fact this pattern is already emerging with the conditions that create extremely warm dry years and extremely wet years both becoming more frequent,evidence-168050,Strong winds high temperatures low humidity and extremely dry conditions caused the fire to grow quickly,SUPPORTS
claim-1066,in fact this pattern is already emerging with the conditions that create extremely warm dry years and extremely wet years both becoming more frequent,evidence-1810,When dry the stone resembles ordinary limestone but when wet or polished using lapidary techniques the distinctive mottled pattern of the six-sided coral fossils emerges,SUPPORTS
claim-3003,Venus is not hot because of a runaway greenhouse,evidence-175982,He also perceived global warming as a growing man-made danger and likened it to the natural development of Venus into a hot life-hostile planet through a kind of runaway greenhouse effect,REFUTES
claim-3003,Venus is not hot because of a runaway greenhouse,evidence-791159,Venus receives about twice the sunlight that Earth does which is thought to have contributed to its runaway greenhouse effect,REFUTES
claim-3003,Venus is not hot because of a runaway greenhouse,evidence-1018575,A runaway greenhouse effect involving carbon dioxide and water vapor has long ago been hypothesized to have occurred on Venus this idea is still largely accepted citation needed,REFUTES
claim-3003,Venus is not hot because of a runaway greenhouse,evidence-1018829,More recent studies have suggested that several billion years ago Venus atmosphere was much more like Earth than it is now and that there were probably substantial quantities of liquid water on the surface but a runaway greenhouse effect was caused by the evaporation of that original water which generated a critical level of greenhouse gases in its atmosphere,REFUTES
claim-3003,Venus is not hot because of a runaway greenhouse,evidence-515817,"The planet Venus experienced runaway greenhouse effect resulting in an atmosphere which is 96 carbon dioxide with surface atmospheric pressure roughly the same as found 900 m 3,000 ft underwater on Earth",REFUTES
claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases,evidence-124246,Models and observations show that greenhouse gas results in warming of the troposphere but cooling of the stratosphere,NOT_ENOUGH_INFO
claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases,evidence-323167,They are however greenhouse gases with a high global warming potential GWP comparable to that of CFCs and HCFCs,NOT_ENOUGH_INFO
claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases,evidence-476616,Models and observations see figure above middle show that greenhouse gas results in warming of the lower atmosphere at the surface called the troposphere but cooling of the upper atmosphere called the stratosphere,NOT_ENOUGH_INFO
claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases,evidence-91026,Although CFCs are greenhouse gases they are regulated by the Montreal Protocol which was motivated by CFCs contribution to ozone depletion rather than by their contribution to global warming,NOT_ENOUGH_INFO
claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases,evidence-1040875,Carbon dioxide is a greenhouse gas that increases radiative forcing and contributes to global warming along with ocean acidification,NOT_ENOUGH_INFO
claim-568,The research also revealed how large areas of the polar ice caps could collapse and significant changes to ecosystems could see the Sahara Desert become green and the edges of tropical forests turn into fire-dominated savanna,evidence-27437,The five primary classifications can be further divided into secondary classifications such as rain forest monsoon tropical savanna humid subtropical humid continental oceanic climate Mediterranean climate steppe subarctic climate tundra polar ice cap and desert,SUPPORTS
claim-568,The research also revealed how large areas of the polar ice caps could collapse and significant changes to ecosystems could see the Sahara Desert become green and the edges of tropical forests turn into fire-dominated savanna,evidence-359861,The five primary classifications can be further divided into secondary classifications such as rain forest monsoon tropical savanna humid subtropical humid continental oceanic climate Mediterranean climate steppe subarctic climate tundra polar ice cap and desert,SUPPORTS
claim-568,The research also revealed how large areas of the polar ice caps could collapse and significant changes to ecosystems could see the Sahara Desert become green and the edges of tropical forests turn into fire-dominated savanna,evidence-1173599,The five primary classifications can be further divided into secondary classifications such as rainforest monsoon tropical savanna humid subtropical humid continental oceanic climate Mediterranean climate desert steppe subarctic climate tundra and polar ice cap,SUPPORTS
claim-568,The research also revealed how large areas of the polar ice caps could collapse and significant changes to ecosystems could see the Sahara Desert become green and the edges of tropical forests turn into fire-dominated savanna,evidence-378191,Biomes include tropical rainforest temperate broadleaf and mixed forest temperate deciduous forest taiga tundra hot desert and polar desert,SUPPORTS
claim-568,The research also revealed how large areas of the polar ice caps could collapse and significant changes to ecosystems could see the Sahara Desert become green and the edges of tropical forests turn into fire-dominated savanna,evidence-691268,It concluded that the forest is on the brink of vague being turned into savanna or desert with catastrophic consequences for the world climate,SUPPORTS
claim-60,So that means that probably about half maybe half of that nine-tenths of the degree of total warming might be caused by greenhouse gases,evidence-741089,In 2018 Michaels asserted on Fox News probably about half maybe half of that nine-tenths of the degree of total warming might be caused by greenhouse gases,DISPUTED
claim-60,So that means that probably about half maybe half of that nine-tenths of the degree of total warming might be caused by greenhouse gases,evidence-878897,In the latter half of the century we find that anthropogenic increases in greenhouses gases are largely responsible for the observed warming balanced by some cooling due to anthropogenic sulphate aerosols with no evidence for significant solar effects,DISPUTED
claim-60,So that means that probably about half maybe half of that nine-tenths of the degree of total warming might be caused by greenhouse gases,evidence-413410,If it greenhouse gas causing the warming the rate of warming should be higher in the troposphere than on the surface,DISPUTED
claim-60,So that means that probably about half maybe half of that nine-tenths of the degree of total warming might be caused by greenhouse gases,evidence-769578,If it greenhouse gas causing the warming the rate of warming should be higher in the troposphere than on the surface,DISPUTED
claim-60,So that means that probably about half maybe half of that nine-tenths of the degree of total warming might be caused by greenhouse gases,evidence-481815,This beneficially masks some of the warming caused by increased greenhouse gases,DISPUTED
claim-378,for thousands of millions of years the Earth has been changing with cycles­ and one-off events such as an asteroid impact super-volcano or a supernova explosion,evidence-258093,Such impacts could have included strikes by asteroids hundreds of kilometers in diameter with explosions so powerful that they vaporized all the Earth oceans,SUPPORTS
claim-378,for thousands of millions of years the Earth has been changing with cycles­ and one-off events such as an asteroid impact super-volcano or a supernova explosion,evidence-507051,Evidence exists that the Chicxulub asteroid impact some 66 million years ago had severely affected the Earth climate,SUPPORTS
claim-378,for thousands of millions of years the Earth has been changing with cycles­ and one-off events such as an asteroid impact super-volcano or a supernova explosion,evidence-492595,This incident involved an explosion that was probably caused by the airburst of an asteroid or comet above the Earth surface felling an estimated 80 million trees over,SUPPORTS
claim-378,for thousands of millions of years the Earth has been changing with cycles­ and one-off events such as an asteroid impact super-volcano or a supernova explosion,evidence-1130868,For example an extinction-level comet or asteroid impact event before the year 2100 has been estimated at one-in-a-million,SUPPORTS
claim-378,for thousands of millions of years the Earth has been changing with cycles­ and one-off events such as an asteroid impact super-volcano or a supernova explosion,evidence-1084524,The supernova explosion itself was likely either a pair-instability supernova or a pulsational pair-instability supernova similar to the SN 2007bi or event,SUPPORTS
claim-2486,The minute increase of anthropogenic CO2 in the atmosphere 0.008 was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years,evidence-251138,Most of the climatic warming over the last 50 years is likely to have been caused by increased concentrations of greenhouse gases in the atmosphere,REFUTES
claim-2486,The minute increase of anthropogenic CO2 in the atmosphere 0.008 was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years,evidence-1050099,Rennie 2009 Claim 1 Anthropogenic CO2 ca n't be changing climate because CO2 is only a trace gas in the atmosphere and the amount produced by humans is dwarfed by the amount from volcanoes and other natural sources,REFUTES
claim-2486,The minute increase of anthropogenic CO2 in the atmosphere 0.008 was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years,evidence-758799,The opposite effect is volcanism responsible for the natural greenhouse effect by emitting CO2 into the atmosphere thus affecting glaciation Ice Age cycles,REFUTES
claim-2486,The minute increase of anthropogenic CO2 in the atmosphere 0.008 was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years,evidence-1019038,It is likely that increases in GHG concentrations alone would have caused more warming than observed because volcanic and anthropogenic aerosols have offset some warming that would otherwise have taken place,REFUTES
claim-2486,The minute increase of anthropogenic CO2 in the atmosphere 0.008 was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years,evidence-479999,Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use,REFUTES
claim-1782,Thousands of coral atolls have drowned when unable to grow fast enough to survive at sea level,evidence-647382,However if the increase in sea level occurs at a rate faster than coral growth or if polyp activity is damaged by ocean acidification then the resilience of the atolls and reef islands is less certain,DISPUTED
claim-1782,Thousands of coral atolls have drowned when unable to grow fast enough to survive at sea level,evidence-592123,However if the increase in sea level occurs at faster rate as compared to coral growth or if polyp activity is damaged by ocean acidification then the resilience of the atolls and reef islands is less certain,DISPUTED
claim-1782,Thousands of coral atolls have drowned when unable to grow fast enough to survive at sea level,evidence-308548,The atolls have shown resilience to gradual sea-level rise with atolls and reef islands being able to grow under current climate conditions by generating sufficient sand and coral debris that accumulates and gets dumped on the islands during cyclones,DISPUTED
claim-1782,Thousands of coral atolls have drowned when unable to grow fast enough to survive at sea level,evidence-87673,Gradual sea-level rise also allows for coral polyp activity to raise the atolls with the sea level,DISPUTED
claim-1782,Thousands of coral atolls have drowned when unable to grow fast enough to survive at sea level,evidence-171000,Coral islands defy sea-level rise over the past century Records from a central Pacific atoll,DISPUTED
claim-1235,During ice ages caused by wobbles in the Earth s orbit sea levels dropped more than 400 feet as ice piled up on land,evidence-573120,These areas formed during the last ice age when a larger portion of Earth water was bound up in ice sheets on land and when sea levels were low,SUPPORTS
